"x_wgs84"	"y_wgs84"	"x_l2e"	"y_l2e"	"MMTP_2007"	"MMTP_2008"	"MMTP_2009"	"MMTP_2010"	"MMTP_2011"	"MMTP_2012"	"MMTP_2013"	"MMTP_2014"	"MMTP_2015"	"MMTP_2016"	"MMTP_2017"
-3.07984	40.3208	137154	1494710	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-2.84806	40.3517	157155	1496810	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-2.61608	40.3819	177154	1498900	26.602	25.725	25.399	26.234	24.8	25.751	25.308	26.363	27.707	27.941	27.941
-2.3839	40.4117	197148	1501000	26.427	25.496	25.173	25.992	24.563	25.474	25.08	26.111	27.457	27.715	27.715
-2.15154	40.4408	217140	1503090	26.312	25.317	24.994	25.811	24.382	25.255	24.92	25.927	27.271	27.559	27.559
-1.91899	40.4695	237127	1505180	26.147	25.038	24.717	25.542	24.114	24.907	24.705	25.659	26.988	27.346	27.346
-1.68627	40.4976	257112	1507270	26.22	25.01	24.699	25.567	24.136	24.842	24.816	25.705	26.995	27.451	27.451
-1.45336	40.5251	277093	1509350	26.311	25.043	24.744	25.669	24.232	24.846	24.999	25.825	27.07	27.62	27.62
-1.22027	40.5521	297071	1511430	26.169	24.886	24.587	25.558	24.115	24.638	24.916	25.709	26.923	27.531	27.531
-0.987015	40.5785	317046	1513510	26.089	24.779	24.484	25.494	24.055	24.488	24.859	25.632	26.819	27.462	27.462
-0.753588	40.6044	337018	1515590	26.181	24.81	24.526	25.574	24.148	24.494	24.942	25.701	26.858	27.522	27.522
-0.519995	40.6297	356987	1517660	26.656	25.178	24.922	26.016	24.613	24.878	25.422	26.155	27.264	27.957	27.957
-0.286239	40.6545	376953	1519740	27.195	25.599	25.363	26.497	25.13	25.322	25.935	26.65	27.711	28.412	28.412
-0.0523241	40.6787	396916	1521800	27.62	25.918	25.683	26.844	25.512	25.652	26.304	27.013	28.039	28.748	28.748
0.181747	40.7024	416877	1523870	28.079	26.264	26.021	27.192	25.913	26.013	26.689	27.412	28.39	29.089	29.089
0.415972	40.7255	436835	1525930	28.532	26.6	26.346	27.505	26.292	26.366	27.057	27.824	28.736	29.409	29.409
0.650345	40.748	456790	1527990	29.497	27.243	26.979	28.123	26.922	26.973	27.732	28.402	29.453	30.279	30.279
0.884865	40.77	476743	1530050	29.651	27.102	26.848	27.982	26.686	26.717	27.551	28.052	29.412	30.474	30.474
1.11953	40.7915	496693	1532110	29.735	27.1	26.859	27.975	26.691	26.707	27.559	28.068	29.443	30.516	30.516
1.35435	40.8124	516643	1534160	29.914	27.095	26.882	27.96	26.702	26.686	27.576	28.102	29.509	30.604	30.604
1.58933	40.8327	536593	1536210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1.82446	40.8525	556541	1538260	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.05972	40.8717	576488	1540300	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.29509	40.8903	596431	1542340	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.53045	40.9084	616372	1544380	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
2.76586	40.926	636309	1546410	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.00154	40.943	656242	1548450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.23733	40.9594	676174	1550480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.47322	40.9752	696103	1552500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.70923	40.9905	716033	1554530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
3.94536	41.0052	735962	1556550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.1816	41.0194	755890	1558570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.41792	41.033	775817	1560580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.65433	41.046	795742	1562600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
4.89082	41.0585	815666	1564610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.12739	41.0704	835589	1566610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.36404	41.0818	855510	1568620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.60061	41.0926	875429	1570620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5.83727	41.1028	895345	1572620	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.07411	41.1125	915261	1574610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.311	41.1216	935176	1576610	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.54796	41.1301	955090	1578600	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
6.78497	41.138	975003	1580580	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.02203	41.1454	994916	1582570	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.25914	41.1523	1014830	1584550	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.4963	41.1585	1034740	1586530	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.73349	41.1642	1054650	1588500	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
7.97073	41.1694	1074560	1590480	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8.20799	41.1739	1094470	1592450	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
8.44528	41.1779	1114380	1594420	28.095	24.591	24.595	26.153	24.909	25.516	24.932	25.691	26.825	26.884	26.884
8.6826	41.1814	1134290	1596380	27.256	23.855	23.893	25.454	24.266	24.824	24.238	25.011	26.448	26.611	26.611
8.91994	41.1842	1154200	1598340	27.034	23.693	23.804	25.403	24.312	24.814	24.104	24.98	26.312	26.455	26.455
9.1573	41.1865	1174110	1600300	27.217	24.013	23.942	25.659	24.568	25.114	24.453	25.24	26.633	26.817	26.817
9.39467	41.1882	1194020	1602260	27.936	24.932	24.65	26.432	25.38	25.915	25.394	26.071	27.393	27.587	27.587
9.63205	41.1894	1213930	1604210	27.722	24.723	24.708	26.378	25.471	25.9	25.175	26.037	27.082	27.178	27.178
9.86944	41.19	1233840	1606160	28.095	25.201	25.195	26.799	25.935	26.347	25.632	26.467	27.372	27.422	27.422
10.1068	41.19	1253740	1608110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.3442	41.1895	1273630	1610060	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.5816	41.1884	1293540	1612000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
10.819	41.1867	1313460	1613940	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-3.1169	40.4988	135371	1514750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-2.88449	40.5297	155369	1516850	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
-2.65189	40.5601	175363	1518950	26.602	25.725	25.399	26.234	24.8	25.751	25.308	26.363	27.707	27.941	27.941
-2.41909	40.5899	195354	1521050	26.427	25.496	25.173	25.992	24.563	25.474	25.08	26.111	27.457	27.715	27.715
-2.18609	40.6192	215341	1523140	26.312	25.317	24.994	25.811	24.382	25.255	24.92	25.927	27.271	27.559	27.559
-1.95291	40.6479	235325	1525230	26.147	25.038	24.717	25.542	24.114	24.907	24.705	25.659	26.988	27.346	27.346
-1.71955	40.6761	255306	1527320	26.106	24.888	24.569	25.425	23.994	24.706	24.661	25.558	26.858	27.303	27.303
-1.48601	40.7037	275284	1529410	26.472	25.184	24.894	25.827	24.391	25.003	25.187	25.996	27.231	27.8	27.8
-1.25228	40.7308	295258	1531490	26.355	25.057	24.769	25.755	24.311	24.829	25.151	25.922	27.122	27.756	27.756
-1.01839	40.7573	315229	1533570	25.68	24.417	24.1	25.093	23.645	24.081	24.412	25.209	26.416	27.037	27.037
-0.784317	40.7833	335198	1535650	26.234	24.862	24.583	25.633	24.208	24.555	25.013	25.764	26.919	27.594	27.594
