qd;quadrat;xl2e;yl2e;xwgs84;ywgs84;annee;nb_frenaie;volume17
0055-2396;ILE-MOLENE                                                  ;55000;2396000;-5.0230317029534;48.3331126730404;;0;0
0055-2412;OUESSANT                                                    ;55000;2412000;-5.04326067201334;48.4763275795596;;0;0
0071-2364;PLOGOFF                                                     ;71000;2364000;-4.76920842437186;48.0598193803499;;0;0
0071-2396;LE CONQUET                                                  ;71000;2396000;-4.80817809909088;48.3463682469324;;0;0
0071-2412;PLOUARZEL                                                   ;71000;2412000;-4.82782321478296;48.4896182127043;;0;0
0087-2348;PLOUHINEC                                                   ;87000;2348000;-4.53665686158622;47.9292846342506;;0;0
0087-2364;PONT-CROIX                                                  ;87000;2364000;-4.55540775943999;48.0726153821001;;0;40.3814
0087-2380;CROZON                                                      ;87000;2380000;-4.57426097772431;48.2159314854598;;0;0
0087-2396;BREST                                                       ;87000;2396000;-4.59321735403977;48.3592320064835;;0;0
0087-2412;PLOUDALMEZEAU                                               ;87000;2412000;-4.61227773513003;48.5025160051015;;0;0
0087-2428;LANDEDA                                                     ;87000;2428000;-4.63144297700654;48.6457825390285;;0;0
0103-2332;PONT-L'ABBE                                                 ;103000;2332000;-4.30525384652111;47.7982808160632;;0;0
0103-2348;PLOGASTEL-SAINT-GERMAIN                                     ;103000;2348000;-4.32333010151848;47.9416578820085;;0;0
0103-2364;DOUARNENEZ                                                  ;103000;2364000;-4.34150477559925;48.0850213370514;;0;0
0103-2380;ARGOL                                                       ;103000;2380000;-4.35977867276493;48.2283702461906;;0;0
0103-2396;GUIPAVAS                                                    ;103000;2396000;-4.3781526057767;48.3717036722018;;0;19.8407
0103-2412;PLABENNEC                                                   ;103000;2412000;-4.39662739627478;48.5150206756449;;0;0
0103-2428;PLOUGUERNEAU                                                ;103000;2428000;-4.41520387489963;48.6583203148717;;0;0
0119-2316;GLENANS OUEST                                               ;119000;2316000;-4.07499487327601;47.6668119366748;;0;0
0119-2332;FOUESNANT                                                   ;119000;2332000;-4.09240261517473;47.8102331779358;;0;0
0119-2348;QUIMPER                                                     ;119000;2348000;-4.10990492382591;47.9536418354958;;0;0
0119-2364;BRIEC                                                       ;119000;2364000;-4.12750257015168;48.0970369771563;;0;0
0119-2380;CHATEAULIN                                                  ;119000;2380000;-4.14519633345737;48.2404176685131;;0;182.49
0119-2396;LANDERNEAU                                                  ;119000;2396000;-4.16298700154543;48.3837829729457;;0;106286,000
0119-2412;PLOUDIRY                                                    ;119000;2412000;-4.18087537083134;48.5271319516253;;0;0
0119-2428;PLOUESCAT                                                   ;119000;2428000;-4.19886224646135;48.6704636635225;;0;0
0135-2316;GLENANS EST                                                 ;135000;2316000;-3.86262072858103;47.678345283975;;0;0
0135-2332;CONCARNEAU                                                  ;135000;2332000;-3.87945681847246;47.8217970063255;;0;0
0135-2348;ROSPORDEN                                                   ;135000;2348000;-3.89638440987395;47.9652362364248;;0;0
0135-2364;EDERN                                                       ;135000;2364000;-3.91340424915838;48.1086620426463;;0;0
0135-2380;PLEYBEN                                                     ;135000;2380000;-3.93051709082088;48.2520734911647;;0;0
0135-2396;SIZUN                                                       ;135000;2396000;-3.94772369758932;48.3954696459453;;0;101.25
0135-2412;SAINT-THEGONNEC                                             ;135000;2412000;-3.96502484053673;48.5388495687525;;0;22.0472
0135-2428;SAINT-POL-DE-LEON                                           ;135000;2428000;-3.98242129919543;48.6822123191569;;0;0
0135-2444;ILE-DE-BATZ                                                 ;135000;2444000;-3.99991386167316;48.8255569545432;;0;0
0151-2316;CLOHARS-CARNOET                                             ;151000;2316000;-3.65015582207112;47.6894908667018;;0;0
0151-2332;PONT-AVEN                                                   ;151000;2332000;-3.66641952161362;47.8329720526199;;0;17.3092
0151-2348;SCAER                                                       ;151000;2348000;-3.68277164941062;47.9764408347606;;0;4.59784
0151-2364;GOURIN                                                      ;151000;2364000;-3.69921292717698;48.1198962820516;;0;0
0151-2380;PLONEVEZ-DU-FAOU                                            ;151000;2380000;-3.71574408448707;48.2633374612282;;0;0
0151-2396;HUELGOAT                                                    ;151000;2396000;-3.73236585888187;48.4067634368234;;0;0
0151-2412;MORLAIX                                                     ;151000;2412000;-3.74907899597773;48.5501732711761;;0;0
0151-2428;LANMEUR                                                     ;151000;2428000;-3.76588424957702;48.6935660244384;;0;13.1229
0167-2300;GROIX                                                       ;167000;2300000;-3.42199726509691;47.5567274252144;;0;0
0167-2316;LORIENT                                                     ;167000;2316000;-3.43760320256027;47.7002484458333;;0;0
0167-2332;ARZANO                                                      ;167000;2332000;-3.45329379781039;47.8437580764324;;0;127009,000
0167-2348;LE FAOUET                                                   ;167000;2348000;-3.46906974030556;47.9872553887403;;0;0
0167-2364;LANGONNET                                                   ;167000;2364000;-3.48493172699726;48.1307394522207;;0;151513,000
0167-2380;MAEL-CARHAIX                                                ;167000;2380000;-3.50088046243208;48.2742093341515;;0;42.9975
0167-2396;CALLAC                                                      ;167000;2396000;-3.51691665885526;48.417664099615;;0;13.3193
0167-2412;PLOUARET                                                    ;167000;2412000;-3.53304103631591;48.5611028115057;;0;0
0167-2428;LANNION                                                     ;167000;2428000;-3.549254322774;48.7045245305384;;0;0
0167-2444;PERROS-GUIREC                                               ;167000;2444000;-3.56555725420911;48.847928315256;;0;0
0183-2268;LE PALAIS                                                   ;183000;2268000;-3.18010246143736;47.2799424772099;;0;0
0183-2284;QUIBERON                                                    ;183000;2284000;-3.19497644741942;47.4235106818615;;0;0
0183-2300;SAINT-PIERRE-QUIBERON                                       ;183000;2300000;-3.20993071888335;47.5670694274268;;0;0
0183-2316;BELZ                                                        ;183000;2316000;-3.22496592651247;47.7106177905463;;0;25.5487
0183-2332;HENNEBONT                                                   ;183000;2332000;-3.24008272802859;47.8541548456213;;0;0.70736
0183-2348;PLOUAY                                                      ;183000;2348000;-3.25528178828736;47.9976796648919;;0;0
0183-2364;PLOERDUT                                                    ;183000;2364000;-3.27056377937503;48.1411913183398;;0;0
0183-2380;ROSTRENEN                                                   ;183000;2380000;-3.28592938070685;48.2846888737672;;0;0
0183-2396;BOURBRIAC                                                   ;183000;2396000;-3.30137927912707;48.4281713967868;;0;170061,000
0183-2412;BEGARD                                                      ;183000;2412000;-3.31691416901061;48.5716379508305;;1;126.4
0183-2428;LA ROCHE-DERRIEN                                            ;183000;2428000;-3.33253475236632;48.7150875971564;;0;0
0183-2444;PENVENAN                                                    ;183000;2444000;-3.34824173894203;48.8585193948577;;0;0
0199-2268;LOCMARIA                                                    ;199000;2268000;-2.96908863972758;47.2898446278563;;0;0
0199-2284;ILE-D'HOUAT                                                 ;199000;2284000;-2.98339730717701;47.4334390000146;;0;0
0199-2300;CARNAC                                                      ;199000;2300000;-2.99778323769523;47.5770239910998;;0;0
0199-2316;PLUVIGNER                                                   ;199000;2316000;-3.0122470577841;47.7205986782343;;0;36.2896
0199-2332;BAUD                                                        ;199000;2332000;-3.02678940072668;47.8641621363072;;0;26.9112
0199-2348;PONTIVY                                                     ;199000;2348000;-3.04141090667917;48.0077134380522;;0;0
0199-2364;CLEGUEREC                                                   ;199000;2364000;-3.05611222276418;48.1512516539506;;0;0
0199-2380;SAINT-NICOLAS-DU-PELEM                                      ;199000;2380000;-3.07089400316563;48.2947758523105;;0;0
0199-2396;PLESIDY                                                     ;199000;2396000;-3.08575690922516;48.4382850992565;;0;0
0199-2412;GUINGAMP                                                    ;199000;2412000;-3.10070160954018;48.5817784587383;;0;41.3888
0199-2428;PAIMPOL                                                     ;199000;2428000;-3.11572878006342;48.7252549925387;;0;63.6725
0199-2444;LEZARDRIEUX                                                 ;199000;2444000;-3.13083910420423;48.8687137602816;;0;0
